,sentence1,sentence2,similarity_score,TFIDF_cosine_score,rank_by_TFIDF_cosine_score,rank_by_similarity_score,d,d^2
2975,bones industrial average point percent,blue chip bones industrial average fall point percent give percent early,2.5,0.7573237565614286,4575,2343,2232,4981824
2976,peace rules defeat funny louisiana derby,peace rule funny draw away,2.25,0.3045706906948441,1446,2153,-707,499849
2977,say final agreement expect sign week,organ air deal expect penalize week spokesman mob having say,3.0,0.28423260849299414,1349,2813,-1464,2143296
2978,share eds close thursday gain cent,share eds close thursday cent new work stock exchange,3.6670000553131104,0.7157874774692905,4265,3979,286,81796
2979,divide supreme court rule monday congress force nation public library equip computer anti pornography filter,supreme court say monday government require public library equip computer anti pornography filter reject librarian complaint law amount censorship,3.5999999046325684,0.6259450858428144,3602,3847,-245,60025
2980,weakness exist way vba look property document pass document open host application,vulnerability exist way microsoft visual basic applications check document property pass document open,3.799999952316284,0.5479698323010221,3010,4092,-1082,1170724
2981,million phone vote percent studdard put vote ahead like,million phone vote cast studdard vote ahead like,3.400000095367432,0.892954866846774,5385,3654,1731,2996361
2982,consumer descrambling security card cable operator plug set,watch pay television consumer insert set security card provide cable service,3.400000095367432,0.4694176737112016,2446,3677,-1231,1515361
2983,decide opt european consortium engine good overall solution substantial price effort,decide opt european consortium engine good overall solution,3.799999952316284,0.8458603576234865,5138,4083,1055,1113025
2984,good drug administration reject imclone application sell erbitux bite shod research,good drug administration reject imclone original application december say trial sleepily conduct,2.799999952316284,0.4894848952279399,2581,2589,-8,64
2985,critic law violate civil liberty house judiciary committee chairman james sensenbrenner r say sensitive,house judiciary committee chairman james sensenbrenner r say sensitive civil liberty complaint,3.75,0.8272089012173469,5027,4035,992,984064
2986,lodges win sixth consecutive game long win streak edge colorado wednesday crowd lodger stadium,lodges win sixth consecutive game seventh beat colorado wednesday crowd lodger stadium,4.400000095367432,0.7993984046098903,4860,5020,-160,25600
2987,far search pennsylvania ohio michigan illinois indiana authority state say,far authority search area pennsylvania ohio indiana michigan,3.75,0.8481197820051676,5153,4027,1126,1267876
2988,year bond form take yield percent record low percent,year bond form take yield percent hit record low percent,2.75,0.9578408293697265,5566,2561,3005,9030025
2989,argue hand document violation fifth amendment right self discrimination,refuse turn paper assert fifth amendment right self discrimination,3.799999952316284,0.5756273948814316,3214,4093,-879,772641
2990,strayhorn say time texas history comptroller terrify appropriation act,news release thursday strayhorn say time comptroller reject budget,3.200000047683716,0.43249020100503327,2202,3247,-1045,1092025
2991,exclude charge analysis average expect loss cent share,analysis poll thomson financial expect loss cent share continue operation,3.799999952316284,0.5041641183585077,2685,4094,-1409,1985281
2992,security expert warn new mass fail worm spread widely internet lose e mail microsoft founder,new worm spread rapidly internet pretend e mail microsoft chairman rates antivirus vendor say monday,4.800000190734863,0.3994490349618187,1996,5378,-3382,11437924
2993,hazel say police identify body seven strong cell believe carry simultaneous attack saturday,say police identify body seven comber launch simultaneous maid friday night,4.0,0.4809484188353528,2518,4555,-2037,4149369
2994,new jersey bank holder earner permit intermediate license cell phone paper tireless device drive,addition ntsb recommend nhtsa state legislation enact prohibit holder earner permit intermediate license mobile phone drive,1.399999976158142,0.47432763800500993,2476,1277,1199,1437601
2995,university michigan release today new admission policy supreme court strike june way previously admit undergraduate,university michigan plan release new undergraduate admission policy thursday acceptance requirement reject supreme court june,4.199999809265137,0.6673433480452785,3902,4812,-910,828100
2996,audiotape tired week arab ll jazeera television network appear effort invite attack,audiotape tired week arab al jazeera television network strong evidence madam survive war,1.7999999523162842,0.597005131169942,3387,1629,1758,3090564
2997,company detail cost replacement repair,company official expect cost replacement work run million dollar,2.0,0.5477612757707574,3009,1866,1143,1306449
2998,mean tell reporter travel city sleepless summer tour consider campaign texas challenge,today mean end day city sleepless summer tour chicago new work,2.5999999046325684,0.4937111602694689,2615,2459,156,24336
2999,feel disagree rose lose job say,lavender feel disagree rose lose job,3.25,0.8556046481328495,5195,3332,1863,3470769
3000,american decision provoke angry reaction european commission describe legally warrant economically unfounded politically helpful,european commission powerful executive body describe legally warrant economically unfounded politically helpful,3.75,0.7009329335217886,4140,4030,110,12100
3001,grippe prawak leave friday day department introduce plan distribute medical marijuana doctor office,director office medical access windy grippe prawak leave job department introduce plan distribute marijuana doctor office,4.25,0.8006478618342663,4869,4912,-43,1849
3002,morgenthau say wire transfer deacon account total billion,fire transfer account open deacon total billion morgenthau say,4.75,0.8910297999534599,5375,5342,33,1089
3003,year unsuccessful bid democratic nomination governor,run year democratic nomination texas governor lose primary multimillionaire bony ranches,3.25,0.4665176949933374,2425,3340,-915,837225
3004,nation large retailer tell supplier start electronic tag pellet good,pal tell supplier need radio frequency system place crack pellet good supply chain,3.75,0.3649313773523212,1778,4049,-2271,5157441
3005,take hospital precautionary x ray neck,harvey take duke hospital precautionary neck x ray come negative,3.25,0.7087479708620195,4207,3335,872,760384
3006,bill say woman undergo abortion prosecute,woman undergo abortion prosecute bill,5.0,0.9658219687183842,5574,5668,-94,8836
3007,democrats assembly republicans,democrats dominate assembly republicans control senate,2.0,0.7186887152905908,4286,1868,2418,5846724
3008,come basically washington establish relationship sure get federal money california schwarzenegger say meet congressional republicans,come washington basically establish relationship sure get federal money schwarzenegger say meeting,4.199999809265137,0.8026822515901922,4880,4803,77,5929
3009,late snapshot labor market slightly well economist expect forecast claim fall low week,despite problem job market late snapshot labor market slightly well economist expect,3.400000095367432,0.6865123157395663,4036,3575,461,212521
3010,chante away millard go trial monday charge degree murder,chante lawton millard charge murder tapering evidence,3.0,0.5230112205785125,2813,2756,57,3249
3011,mind blunders plead guilty federal court charge include extortion money wandering conspiracy,ships aide mind blunders hobby mclamb plead guilty federal charge include extortion,2.75,0.6251293650145,3594,2568,1026,1052676
3012,vivendi share close percent paris europe,vivendi share percent europe paris gmt,2.5999999046325684,0.8270851018814971,5024,2453,2571,6610041
3013,microsoft identify freely distribute sinus software big threat sale,company publicly identify sinus big competitive threat,3.400000095367432,0.4400712618655207,2250,3576,-1326,1758276
3014,antonio monteiro de gastro currently director group latin america caribbean operation chief operating officer date,bat say antonio monteiro de gastro director latin america caribbean chief operating officer january,3.5999999046325684,0.775865712624724,4696,3842,854,729316
3015,pin manipulation public relation propaganda answer say,report add spin manipulation public relation answer avoid debate,3.5999999046325684,0.5272194561592879,2837,3874,-1037,1075369
3016,shooting link spree occur sov hamilton central elementary bet mile freely,late shooting link spree sov shooting hamilton township elementary school bet mile freely,4.800000190734863,0.8072293856728394,4904,5376,-472,222784
3017,tuesday central bank leave interest rate steady expect declare overall risk weight weakness warn relation risk,central bank policy board leave rate steady widely expect surprise market declare overall risk weight weakness,4.0,0.7228425454821161,4312,4549,-237,56169
3018,fighting erupt north organ journalist confront dozen south organ activist protest human right abuse north outside main medium centre,trouble flare north organ reporter rush taegu media centre confront dozen activist protest human right abuse north,3.400000095367432,0.580106615861029,3250,3548,-298,88804
3019,dusty battle kidney cancer year,dusty surgery cancer kidney remove,2.400000095367432,0.6979904306453022,4118,2224,1894,3587236
3020,kadyrov injure bodyguard kill,star pass news agency say bodyguard kill bomb,3.0,0.346291850076326,1691,2762,-1071,1147041
3021,commission estimate california lose billion state tax shelter,commission estimate california lose million corporate tax shelter,2.75,0.8023563072895472,4877,2571,2306,5317636
3022,official force cross syrian territory vague syrian border guard involved,official american force act intelligence cross syrian territory vague syrian guard involve,4.0,0.7236858488098497,4315,4548,-233,54289
3023,verisign introduce site hinder service kept,battle week old site hinder service rage,1.75,0.437583940521253,2230,1617,613,375769
3024,truce hold prison isolation say,truce night hold isolation prison,4.5,0.8798443192687744,5324,5147,177,31329
3025,leader bu war al di turn june deputy kill recent shootout maude force,leader bu war al di surrender june deputy kill shoot maude force recently,5.0,0.7188128827544618,4288,5669,-1381,1907161
3026,freita opening statement king county superior court judge charles vertex recess trial thanksgiving weekend,king county superior court judge charles vertex recess trial monday,3.0,0.7493187320854617,4522,2766,1756,3083536
3027,google investor include prominent firm plainer jerking garfield eyes sequoia capital paper note,google early stage banker include california base stanford university firm plainer jerking sequoia capital,2.799999952316284,0.5322761953405866,2891,2593,298,88804
3028,july st sixth anniversary long long return chinese rule,rally overshadow ceremony mark sixth anniversary long long return china july,2.6670000553131104,0.6197916765686953,3561,2533,1028,1056784
3029,calm wednesday announce plan acquire handspring company start jeff napkins regard father calm hand,calm say wednesday plan buy handspring company create renegade calm co founder jeff napkins,4.0,0.6483804836069511,3771,4534,-763,582169
3030,government recently shell peace talk milf border malaysia string attack include coming mindanao,government recently shell peace talk border neighbour malaysia state attack mindanao include deadly coming blame milf,4.25,0.8061571786052586,4898,4935,-37,1369
3031,company post profit million cent share year ago period,year ago quarter company earn million cent share,4.176000118255615,0.6245062462101331,3587,4704,-1117,1247689
3032,join boston monday massachusetts community watertown august framingham,long boston watertown august framingham go smoke free monday,3.0,0.6447162218475102,3747,2817,930,864900
3033,israeli soldier knock mobile home water tower tiny west bank settlement outpost overnight back ideas peace plan,israel soldier begin tear settlement outpost west bank yesterday israel obligation new ideas peace plan,3.799999952316284,0.4872177667979615,2558,4068,-1510,2280100
3034,union reveal chain target,union say reveal later chain target,4.599999904632568,0.8800831729667982,5326,5227,99,9801
3035,met say davidowitz chairman davidowitz associates national retail consulting firm base new work city,innocent damage good say davidowitz chairman davidowitz associates national retail consulting firm new work,1.399999976158142,0.8368104640877599,5087,1287,3800,14440000
3036,update product include salon fro salon conduct salon salon application server,new product desktop include late version salon conduct salon fro,2.799999952316284,0.7756588572310701,4693,2596,2097,4397409
3037,turkish authority say suicide comber turks,ankara say suicide comber turkish,4.199999809265137,0.6054648174220223,3445,4830,-1385,1918225
3038,april forecast operating earning range cent share,today expect earning cent cent share quarter,1.0,0.43440519870477945,2213,934,1279,1635841
3039,florida alaska thousand reveler vow push legal right include sex marriage,thousand reveller celebrate decision vow push legal right include sex marriage,4.199999809265137,0.6436499648611645,3739,4814,-1075,1155625
3040,status egypt israel australia,nation like israel australia status,2.5,0.714967045241986,4254,2360,1894,3587236
3041,finding appear wednesday journal american medical association news web site,result publish wednesday issue journal american medical association,3.5,0.5519103669007495,3048,3720,-672,451584
3042,additionally cradle room charge second battery,cradle space charge second battery,4.75,0.7154953470846744,4259,5337,-1078,1162084
3043,word point word refugee english turkish dictionary,man banish english turkish dictionary point word refugee,3.5,0.8349947175183489,5078,3717,1361,1852321
3044,close co operation law enforcement agency intelligence service lie heart go fight terrorist say,close cooperation regional law enforcement agency intelligence service heart fight terrorist say,4.0,0.8083272668786673,4913,4530,383,146689
3045,group say market rebound percent billion sale,asia pacific report growth percent billion,2.0,0.2366640570580717,1112,1832,-720,518400
3046,captain robert damsel st humoured division say truck explode outside building compound outer wall collapse,captain robert damsel humored division say truck explode outside building,3.200000047683716,0.6717672004310428,3931,3242,689,474721
3047,northern autumn trainer work soldier north african country patrol gather intelligence,later year command send trainer soldier north african nation patrolling intelligence gathering mission,3.799999952316284,0.3773305498498667,1865,4075,-2210,4884100
3048,figure catastrophe say patrick pelloux president association emergency room physician,unacceptable say patrick pelloux president france association emergency doctors,2.5,0.585090609218361,3286,2362,924,853776
3049,happen way punishment certainly covello tell year old family friend supporter fill half courtroom,happen sir way punishment certainly covello say,3.0,0.5933759002052716,3358,2892,466,217156
3050,mother allege lawsuit sexually assault guard,mother contend sexually assault guard confrontation,4.0,0.6302230370930979,3631,4531,-900,810000
3051,yes today clash memory purchase amd fujitsu brand passion,passion clash memory solution available worldwide amd fujitsu,2.625,0.6039864809364862,3434,2526,908,824464
3052,world large automaker say sale decline predict month late summer sale frenzy cause industry backwash expect,domestic sale word motor decline predict late summer sale frenzy prompt large expect industry backwash,3.200000047683716,0.7284941922045884,4348,3275,1073,1151329
3053,tropical storm rapidly develop gulf mexico sunday expect hit texas louisiana coast monday night,tropical storm rapidly develop gulf mexico sunday hurricane force wind hit land louisiana coast monday night,4.0,0.8222017316219689,4997,4533,464,215296
3054,pressure rise thursday national coverage final round plan espn cable sport network,pressure intensify today national coverage final round plan espn word difficult,3.200000047683716,0.6112966267801767,3499,3306,193,37249
3055,pataki praise abraham decision lipa chairman richard vessel say cable keep operation permanently,lipa chairman richard vessel say mean cable fit,2.400000095367432,0.5677795181475395,3166,2188,978,956484
3056,eye come diego year physician cabs,eye diego spend year cabs work superconductor material,3.5999999046325684,0.5702631146626246,3183,3860,-677,458329
3057,meningitis infection spinal cord fluid tissue brain,meningitis infection fluid person spinal cord brain,4.599999904632568,0.8977501257583211,5400,5226,174,30276
3058,mayor toe parker say late thursday worker man woman inside building blast occur,miss worker man woman inside building blast occur mayor toe parker say,4.400000095367432,0.8840982739203271,5341,5013,328,107584
3059,london base ncri official li safavi tell letter condemn raid view illegal morally politically unjustifiable,condemn raid view illegal morally politically unjustifiable london base ncri official li safavi tell letters telephone,4.599999904632568,0.9032700407171336,5421,5249,172,29584
3060,explode hand italian prime minister hurt,letter bomb send rode explode hand hurt,3.5999999046325684,0.46361322486451634,2392,3858,-1466,2149156
3061,falaba military attorney air force james key deny charge carry death penalty,attorney represent al falaba air force james key iii deny charge accord associated dress,3.200000047683716,0.5979310238470564,3391,3284,107,11449
3062,nasal letter court say tear family apart,seek tendency nasal apologize court employee family,2.0,0.3834128285857499,1901,1841,60,3600
3063,early city receive report dead blue day crow jayroe say,early city receive report say,2.799999952316284,0.6162091135558281,3534,2600,934,872356
3064,forest freedom organisation right enjoy smoking tobacco say mention word prohibition know happen,forest freedom organisation right enjoy smoking tobacco say greet lancet amusement disbelieve,1.600000023841858,0.5951036881966114,3376,1590,1786,3189796
3065,convert baystar aggregate approximately million share sco common stock percent company outstanding share,investment give larkspur baystar million share sco common stock percent company outstanding share,4.0,0.7325724940336481,4396,4546,-150,22500
3066,opec producer meeting wednesday set pressure independent oil export contribute carted supply cut allow return iraqi oil,opec week set pressure independent export carted supply cut prevent resumption iraqi export undercut oil price,2.799999952316284,0.6417097706523407,3724,2614,1110,1232100
3067,federal trade commission ftc ask congress today additional authority fight unwanted internet spasm account half e mail traffic,federal trade commission ask congress yesterday broad power attack rapidly grow problem spasm new study account half e mail traffic,5.0,0.5558116288933543,3075,5672,-2597,6744409
3068,federal grand jury indict tuesday document seal yesterday allow authority arrest,federal official say document remained seal thursday morning allow authority arrest western state,3.400000095367432,0.5182775435553401,2780,3599,-819,670761
3069,people oppose action try find fresh reason right thing,happen people oppose action try find fresh reason right thing,4.0,0.9323003374889826,5517,4536,981,962361
3070,richard miller remained hospitalize undergo liver transplant wife recover,richard miller survive lifesave liver transplant remains hospitalize,3.200000047683716,0.582867627970123,3268,3295,-27,729
3071,frequent representative immediately reach comment sco announcement,spokesman sco reach comment afternoon,3.799999952316284,0.4618228959135605,2383,4064,-1681,2825761
3072,proportion people cover employer drop percent percent year,proportion americans insurance employer decline percent percent percent,3.200000047683716,0.6601377781205799,3851,3296,555,308025
3073,world clayton hewitt accuse association tennis professional malice include allege attempt year dupe refuse drug test,world clayton hewitt accuse professional peer long stand malice include attempt year dupe refuse drug test,4.0,0.81939628688776,4980,4540,440,193600
3074,msn messenger available download start gmt wednesday,msn messenger software available pst wednesday accord microsoft,3.25,0.5370177658617089,2933,3336,-403,162409
3075,connection incident acknowledge behave inappropriately,acknowledge behave inappropriately say,4.25,0.7744516020683363,4681,4949,-268,71824
3076,spokesman say november co operate fully police,add co operate fully police november,4.25,0.8222136011902474,4998,4931,67,4489
3077,woman eat potato numerous vegetable pregnancy risk trigger type diabete child melbourne research believe,australian research believe find trigger type diabete child mother eat potato numerous vegetable pregnancy,4.25,0.8277845272027475,5033,4937,96,9216
3078,broad standard door index inch point percent,technology lace nasdaq composite index lose point percent,0.75,0.29659990857721946,1408,748,660,435600
3079,people think blood pressure fine actually way hypertension new guideline publish wednesday,people think blood pressure fine actually need start exercise eat well accord new guideline publish wednesday,3.0,0.7246159729472617,4320,2898,1422,2022084
3080,amazon report new work attorney general office settle civil fraud charge spoofer identify,amazon new work attorney general office settle alleged e mail forget,3.75,0.5513590608052594,3045,4044,-999,998001
3081,lead actress nod go energetic newcomer drissa caret winokur anna daughter gray,drissa caret winokur gray win good actress musical,4.0,0.568481676486025,3171,4543,-1372,1882384
3082,appear initial report textbook land consider circumstance burke say,say burke textbook land consider circumstance,4.0,0.8349459972278648,5077,4544,533,284089
3083,allegiant share rise percent thursday morning trading nasdaq stock market,allegiant stock close wednesday cent trading nasdaq market,2.0,0.6313997501055064,3647,1856,1791,3207681
3084,state law call public information release,law call public information rhode island,3.400000095367432,0.5792638863636386,3243,3593,-350,122500
3085,adr fall cent new work stock exchange composite trading today,share box entertainment group news medium entertainment arm fall cent new work stock exchange composite trading,1.399999976158142,0.4731262634458088,2467,1270,1197,1432809
3086,prefer say initiative launch million nationwide program week clean neighborhood build community project,prefer say launch million program week clean neighborhood ran build community project give detail,3.400000095367432,0.8666619870288619,5249,3435,1814,3290596
3087,nasdaq composite index add point percent,nasdaq weekly gain percent close gain yesterday,2.400000095367432,0.21129038218637608,1018,2208,-1190,1416100
3088,british foreign office say monday coalition authority ran pleased man free,british foreign office say meditate man release,2.5999999046325684,0.4323337403104521,2201,2469,-268,71824
3089,pal estimate million americans visit store week,week million shipper visit pal store,2.799999952316284,0.6823305907066052,4007,2610,1397,1951609
3090,add rode maybe old age help understand strength weakness,maybe old age help understand strength weakness reality world,3.200000047683716,0.7814597332722087,4734,3299,1435,2059225
3091,proud stand richard dixon merry say,march street richard dixon vietnam war say,2.400000095367432,0.48209973554473096,2524,2220,304,92416
3092,share corixa gain cent nasdaq,late morning trading nasdaq stock market corixa cent,3.25,0.5426247124840771,2971,3397,-426,181476
3093,spokesman fbi cia canadian security intelligence service royal canadian mounted police decline comment ll shukrijumah stay canada,fbi cia canadian security intelligence service royal canadian mounted police decline comment washington times report,2.75,0.7687738713039979,4649,2570,2079,4322241
3094,persistent problem solve investigation board member palace say,persistent problem solve mechanically physically say board member palace,4.0,0.7727604225189725,4668,4545,123,15129
3095,americans cut run misadventure say,pledge bring peace ran americans cut run misadventure,3.5999999046325684,0.6964174774579767,4108,3962,146,21316
3096,doubt chemical programme biological programme nuclear programme document say,add doubt chemical programme biological programme nuclear weapon programme,3.799999952316284,0.9278796805503895,5505,4077,1428,2039184
3097,ridge say real explosive harmful device exercise,ridge say actual explosive harmful substance,4.599999904632568,0.6026774180825726,3422,5252,-1830,3348900
3098,america friend happen say loud applause,america friend happen,3.25,0.6962916006614945,4107,3391,716,512656
3099,crawl narrow wind canyon appeal foot cliff walk mile canyon,crawl narrow wind canyon appeal foot cliff walk mile canyon near canyonlands national dark southwestern utah,3.75,0.810992485360637,4934,4043,891,793881
3100,amnesty international say past year collect information disappearance ran actual figure high,amnesty international say past year collect information disappearance ran,4.0,0.8436595331192058,5126,4576,550,302500
3101,texas instruments climb yesterday novellus systems advance,texas instruments climb novellus systems advance having raise overnight german,3.75,0.759617395933449,4599,4042,557,310249
3102,ask excuse week cabinet session prepare meeting president swandam agenda,take highly unusual step shipping cabinet attend meeting president swandam agenda,3.4549999237060547,0.46393513153316035,2395,3686,-1291,1666681
3103,mixture ancient pagan modern christian rate villager stage series ceremony hope ease misfortune believe keep poor,mixture ancient melanesian pagan modern christian ceremony people try ease misfortune believe keep poor long ago meal,4.0,0.7097415215127416,4219,4604,-385,148225
3104,bones industrial average edge point percent,bones industrial average point percent,2.5,0.8906347264429753,5369,2342,3027,9162729
3105,monkeypox usually find central western africa,prairie dog usually find southwestern western state indigenous wisconsin,0.25,0.3322818647674157,1609,444,1165,1357225
3106,film second trilogy wrap november matrix revolutions,reload second installment trilogy matrix revolutions seat debut november,3.8329999446868896,0.6306612182872294,3637,4330,-693,480249
3107,addition justice department say fbi conduct few investigation involve visit mosque,addition few fbi office conduct investigation involve visit islamic mosque justice department say,3.75,0.9156722303008188,5468,4034,1434,2056356
3108,launch coincide javaone developer conference francisco week,news come conjunction gun annual javaone developer conference francisco,3.25,0.5507311985874399,3039,3380,-341,116281
3109,royal duty base experience diana princess tales letter allegedly,royal household race revelation royal duty base servant time diana princess tales,2.75,0.6140575917409797,3519,2549,970,940900
3110,army say raid come day israel troop shoot kill abdullah kawasme james leader city target militant james,arrest come day israel troop shoot kill abdullah kawasme militant group leader neuron,3.0,0.6343051957602367,3667,2907,760,577600
3111,sars go claim life people toronto area include nurse doctor,virus kill people toronto area include doctor nurse,3.200000047683716,0.7175227075809707,4277,3229,1048,1098304
3112,apple computer new online music service sell million song week operation company say monday,apple computer say monday exceed record industry expectation sell million song launch online music store week ago,4.599999904632568,0.633418041856253,3659,5275,-1616,2611456
3113,arrest twice trespassing bar complex home mother child,arrest twice trespassing bar complex,3.5999999046325684,0.8275801582821358,5032,3933,1099,1207801
3114,oracle chairman ceo carry allison rule sweeten company unsolicited offer acquire rival peoplesoft,oracle chairman carry allison hint company increase offer rival peoplesoft,4.400000095367432,0.6563713152430117,3830,4993,-1163,1352569
3115,portuguese weather service say europe heatwave cause mass hot dry air move southeast,heatwave mass hot dry air southeast say paris almeida portugal weather service,4.056000232696533,0.706896643409209,4186,4698,-512,262144
3116,spend taxpayer dollar create terrorist bet parlor wasteful repugnant announce press conference yesterday,spend taxpayer dollar create terrorist bet parlor wasteful repugnant den organ say monday letter pentagon,3.5,0.7081296948784814,4200,3712,488,238144
3117,somewhat ambiguous ruling setback static control depend develop compete product merrily lynch analyst milunovich say,merrily lynch analyst milunovich say somewhat ambiguous ruling regulatory setback static control depend develop compete product,5.0,0.9609777392585984,5571,5674,-103,10609
3118,monkey track progress watch schematic representation arm motion video screen,arm keep separate room monkey track progress watch representation arm motion video screen,4.0,0.817765166466396,4974,4609,365,133225
3119,trigger hour police standoff inconvenience thousand computer traffic back downtown washington northern virginia,protest lead hour standoff police cause huge traffic jame downtown washington northern virginia,4.0,0.6062484456879922,3456,4611,-1155,1334025
3120,standard door index advance cent,broad standard door index rise point percent,4.75,0.5321696873776233,2889,5327,-2438,5943844
3121,agriculture minister nation expect attend day ministerial conference po agricultural science technology sponsor department agriculture,agriculture secretary inn enema kick day ministerial conference po agricultural science technology monday,3.75,0.6316700540007526,3651,4048,-397,157609
3122,complicate situation presence battle harden iberian fight side,fighting continue sporadically west complicate presence battle harden iberian side,4.0,0.6677015794896283,3905,4613,-708,501264
3123,year audubon society host annual christmas bird count,national audubon society annual christmas bird count season,3.5,0.7834300918767356,4742,3740,1002,1004004
3124,remove site list broken english rule hawker participate,organizer establish web site list broken english rule hawker participate,3.0,0.7699787077476087,4655,2902,1753,3073009
3125,doctor sacculate body nitrogen protect cell damage improve blood flow,belief base speculation nitrogen prevent cell damage improve blood flow,4.199999809265137,0.6105736317208176,3495,4874,-1379,1901641
3126,find shortness associate family history hear loss,shortness find twice hearing loss,3.400000095367432,0.408843504912811,2057,3656,-1599,2556801
3127,disco executive say encourage billion cash flow increase net income hope rebound,disco executive encourage billion cash flow increase net income say remain cautiously optimistic rebound,4.599999904632568,0.841715138897675,5113,5274,-161,25921
3128,e mail statement knoxville news sentinel shumaker say give consideration resignation,give consideration resignation shumaker say statement,4.0,0.7151755421386765,4256,4615,-359,128881
3129,poll show fbi begging mayor give boost reelection effort gop opponent,poll release week show fbi begging mayor give boost election effort,4.0,0.7015532993117991,4145,4616,-471,221841
3130,injured passenger john peter smith hospital die later friday morning bones say,injured passenger john peter smith die later morning release bone say,3.642999887466431,0.7869841772713391,4770,3978,792,627264
3131,doctor plan deliver week early november,caesarean originally plan november week early,3.5999999046325684,0.564929123613904,3141,3941,-800,640000
3132,big f spread suspect computer user open file attachment email contain familiar heading thank detail movie,virus spread suspect computer user open file attachment email contain familiar heading like thank detail,4.0,0.8764483258682537,5309,4618,691,477481
3133,technology lace nasdaq composite index rise point percent base late datum,broad standard door index gain point percent,1.0,0.26434212391373946,1255,948,307,94249
3134,founder group matsushita electric bony hitachi nec royal philip electronics samsung sharp toshiba,celf found member hitachi matsushita nec philip samsung sharp bony toshiba,3.400000095367432,0.7307505175547477,4376,3645,731,534361
3135,food supply say david ropeik director risk communication harvard enter risk analysis,zero say david ropeik director risk communication harvard enter risk analysis,1.75,0.8814455929851693,5332,1611,3721,13845841
3136,scream match carolyn tell john sleep begin,turn occasionally tell john sleep ex boyfriend baywatch hang michael begin,3.0,0.34833547923910446,1702,2840,-1138,1295044
3137,hand help establish steve innocence welcome,drain pond maryland help establish steve innocence welcome,3.25,0.7202292957113021,4297,3378,919,844561
3138,fletcher say expect support lawmaker agricultural state committee,say expect support lawmaker agricultural state,3.400000095367432,0.8151438798109154,4952,3468,1484,2202256
3139,year old cadet thicken police drink alcohol camp hotel room early saturday young woman age,year old male cadet catch camp hotel room early saturday female ten year,3.200000047683716,0.5920456345680146,3349,3272,77,5929
3140,step issue security council,matter send security council,2.799999952316284,0.4575587692149513,2355,2605,-250,62500
3141,plan stay day river create forecast late night,lawyer plan stay river starts recede,2.400000095367432,0.36485072493167214,1777,2209,-432,186624
3142,camp host summer religious retreat child event year round accord web site,faint sophia camp host religious retreat child summer month event year round accord web site,3.400000095367432,0.859761871210247,5220,3447,1773,3143529
3143,dealer say single currency downward momentum dollar pick speed break,dealer say neuro downward momentum pick speed break,3.5999999046325684,0.7799727722662662,4721,3949,772,595984
3144,gemstar share gather percent add cent close,gemstar share move higher news close percent nasdaq,3.799999952316284,0.5383801611818785,2940,4103,-1163,1352569
3145,long chipmaker company include bony microsoft hewlett backward ibm gateway foka,long chip maker company include bony microsoft hewlett backward international business machines gateway foka,4.800000190734863,0.6786887391195348,3986,5403,-1417,2007889
3146,roger own alpha albertsons bargain jointly gateway lock union worker day,corporate solidarity roger own alpha robertson lock worker morning,3.799999952316284,0.39463968561315543,1968,4069,-2101,4414201
3147,accord census bureau hispanic population increase percent april census figure,hispanic population increase cent april census figure despite favourable social economic condition,3.3329999446868896,0.6003489581655277,3407,3410,-3,9
3148,share jump pre open trading wednesday close,share jump percent pre open trading rise tuesday close,2.5,0.7939880485429734,4825,2328,2497,6235009
3149,bones industrial average point percent,bones industrial average fall point percent friday,2.400000095367432,0.8552032308183833,5191,2175,3016,9096256
3150,lawyer lackey say bryant expect completely exonerate,bryant innocent expect completely exonerate lackey say statement,3.799999952316284,0.802802010917616,4881,4073,808,652864
3151,good advance act index gain,standard door index rise good advance act gain,3.0,0.8025551261016312,4879,2833,2046,4186116
3152,ask say sullen take somerset county nail thursday move inn vein forensic hospital outside trenton psychiatric care,charles sullen transfer somerset county nail somerville anne vein forensic enter bed psychiatric treatment facility trenton,3.691999912261963,0.5858283858156323,3288,3987,-699,488601
3153,scientist believe stardust wrap thousand particle dust,stardust design gather thousand dust particle stream mild,3.0,0.5643318912371197,3138,2831,307,94249
3154,report independent expert committee aim dissipate suspicion long long government handling sars crisis,long await report long long government handling sars outbreak release,2.75,0.5586348633548749,3091,2540,551,303601
3155,device implement standard esco facility provide basis new careless telephone application,implement esco facility provide basis advanced careless telephone application bluetooth transmission,3.25,0.733266888043335,4403,3389,1014,1028196
3156,drop core wholesale price april reflect fall price car trunk man boy clothe cigarette,big drop august stem fall price car trunk man boy clothe cigarette,3.5,0.6453181381923085,3752,3741,11,121
3157,international rescue worker scout flatten debris survivor ran shattered ancient silk road city violent earthquake kill people,international rescue worker hack desperately flatten debris survivor cemetery overflow ran ancient silk road city yesterday,3.0,0.6325890772486733,3655,2829,826,682276
3158,griffith count airy native live north carolina coast wanted,griffiths grow count airy live wanted,4.0,0.5397723551493596,2955,4602,-1647,2712609
3159,conference board report consumer confidence index slip june,consumer confidence index come june slightly revise conference board say,4.666999816894531,0.6870622669607133,4040,5316,-1276,1628176
3160,notice mood change priority politician say,notice mood change priority say iraqi politician meet prefer,3.3329999446868896,0.8256018493502281,5017,3411,1606,2579236
