,sentence1,sentence2,similarity_score,common_word,rank_by_common_word,rank_by_similarity_score,d,d^2
2796,"['clear', 'obligation', 'possible', 'protect', 'civilian', 'see']","['clear', 'responsibility', 'possible', 'minimize', 'civilian', 'harm']",3.400000095367432,3,3819,3446,373,139129
2797,"['loss', 'barber', 'poland', 'lawyer', 'say', 'tuesday', 'attend', 'meeting', 'ask', 'speak', 'issue']","['loss', 'barber', 'poland', 'legal', 'counsel', 'say', 'governor', 'comment', 'conde', 'deal']",2.0,4,4369,1895,2474,6120676
2798,"['previously', 'see', 'grinning', 'mechanic', 'east', 'cava', 'television']","['hughes', 'see', 'amrozi', 'face', 'television', 'infamous', 'image', 'grinning', 'mechanic', 'east', 'cava']",3.400000095367432,6,5103,3438,1665,2772225
2799,"['year', 'later', 'insurance', 'coverage', 'begin']","['agreement', 'dedicate', 'coverage', 'drug', 'benefit', 'begin']",2.799999952316284,2,1597,2634,-1037,1075369
2800,"['nasa', 'satellite', 'image', 'arctic', 'ice', 'shrink', 'rate', 'nearly', 'percent', 'decade']","['research', 'find', 'sea', 'ice', 'arctic', 'disappear', 'rate', 'percent', 'decade']",3.200000047683716,5,4821,3279,1542,2377764
2801,"['biotech', 'product', 'safe', 'conventional', 'product', 'testing', 'rally', 'say', 'add', 'country', 'adopt', 'biotechnology']","['biotech', 'product', 'safe', 'conventional', 'product', 'testing', 'say', 'robert', 'rally', 'monsanto', 'executive', 'vice', 'president']",3.200000047683716,7,5329,3274,2055,4223025
2802,"['nationally', 'board', 'terrify', 'teacher', 'master', 'degree', 'valley', 'make', 'salary', 'year']","['nationally', 'board', 'terrify', 'teacher', 'master', 'degree', 'valley', 'year', 'teaching', 'make']",4.75,9,5547,5326,221,48841
2803,"['vienna', 'iaea', 'say', 'elbaradei', 'accept', 'invitation', 'date', 'set']","['vienna', 'international', 'atomic', 'energy', 'agency', 'say', 'monday', 'elbaradei', 'accept', 'ran', 'invitation', 'say', 'date', 'set']",3.25,7,5330,3343,1987,3948169
2804,"['epidemic', 'begin', 'november', 'mainland', 'guangdong', 'province', 'people', 'republic', 'china', 'refuse', 'report', 'truthfully', 'spread', 'month']","['prc', 'epidemic', 'begin', 'guandong', 'province', 'november', 'communist', 'party', 'government', 'refuse', 'report', 'truthfully', 'spread', 'month']",4.25,9,5565,4921,644,414736
2805,"['truce', 'face', 'murder', 'charge', 'say']","['say', 'truce', 'charge', 'murder']",5.0,4,4367,5680,-1313,1723969
2806,"['compare', 'million', 'cent', 'share', 'year', 'ago', 'period']","['earning', 'affect', 'non', 'recur', 'million', 'tax', 'benefit', 'year', 'ago', 'period']",1.600000023841858,4,4366,1524,2842,8076964
2807,"['sick', 'markakis', 'left', 'handed', 'young', 'harris', 'junior', 'college', 'georgia', 'go', 'trifles', 'seventh', 'pick']","['baltimore', 'take', 'sick', 'markakis', 'left', 'handed', 'pitcher', 'outfielder', 'young', 'harris', 'junior', 'college', 'georgia']",3.799999952316284,9,5544,4239,1305,1703025
2808,"['remain', 'hopeful', 'city', 'agree', 'work', 'engage', 'good', 'faith', 'discussion', 'issue']","['hart', 'say', 'governor', 'remain', 'hopeful', 'city', 'continue', 'work', 'engage', 'good', 'faith', 'discussion']",3.5,8,5445,3727,1718,2951524
2809,"['woman', 'concerned', 'woman', 'turn', 'cosmetic', 'surgery', 'quest', 'bodily', 'perfection']","['woman', 'express', 'concern', 'society', 'people', 'turn', 'cosmetic', 'surgery', 'quest', 'bodily', 'perfection']",4.75,7,5334,5319,15,225
2810,"['ratification', 'report', 'friday', 'msnbc']","['report', 'cia', 'request', 'friday']",3.0,2,1667,2930,-1263,1595169
2811,"['photo', 'peter', 'hollingworth', 'june', 'issue', 'examine', 'herald', 'yesterday']","['photograph', 'hollingworth', 'june', 'issue', 'magazine', 'examine', 'age', 'yesterday']",3.0,5,4818,2937,1881,3538161
2812,"['continue', 'work', 'audit', 'time', 'tragic', 'event', 'provide', 'additional', 'security', 'request']","['time', 'particular', 'tragic', 'event', 'provide', 'security', 'request', 'jordan', 'say']",3.25,6,5093,3359,1734,3006756
2813,"['statement', 'release', 'dei', 'say', 'green', 'begin', 'drive', 'car', 'interim', 'basis', 'begin', 'week', 'winston', 'open', 'owe', 'motor', 'speedway']","['announce', 'green', 'replace', 'dark', 'pale', 'earnhardt', 'chevrolet', 'begin', 'winston', 'open', 'owe', 'motor', 'speedway', 'week']",3.25,8,5442,3367,2075,4305625
2814,"['costa', 'seminal', 'opponent', 'spaniard', 'juan', 'parlor', 'ferrero', 'beat', 'year', 'final']","['costa', 'play', 'juan', 'parlor', 'ferrero', 'reach', 'year', 'final']",3.75,6,5091,3997,1094,1196836
2815,"['doctor', 'sacculate', 'body', 'nitrogen', 'protect', 'cell', 'damage', 'improve', 'blood', 'flow']","['belief', 'base', 'speculation', 'nitrogen', 'prevent', 'cell', 'damage', 'improve', 'blood', 'flow']",4.25,6,5090,4924,166,27556
2816,"['technology', 'lace', 'nasdaq', 'composite', 'index', 'add', 'point', 'percent']","['broad', 'standard', 'door', 'index', 'creep', 'point', 'percent']",1.2000000476837158,3,3795,1106,2689,7230721
2817,"['americans', 'report', 'casualty', 'accord', 'apt', 'michael', 'alert', 'spokesman', 'regiment']","['casualty', 'americans', 'say', 'apt', 'michael', 'alert', 'regiment', 'spokesman']",5.0,7,5341,5679,-338,114244
2818,"['think', 'right', 'choose']","['think', 'peoplesoft', 'customer', 'deserve', 'right', 'choose', 'allison', 'say']",3.0,3,3798,2964,834,695556
2819,"['find', 'smoking', 'gun', 'investigation', 'board', 'member', 'scott', 'hubbard', 'say']","['find', 'smoking', 'gun', 'say', 'hubbard', 'director', 'nasa', 'research', 'enter', 'california']",3.5999999046325684,5,4817,3900,917,840889
2820,"['child', 'literally', 'neglect', 'death', 'armstrong', 'county', 'district', 'attorney', 'scott', 'andreassi', 'say']","['armstrong', 'county', 'district', 'attorney', 'scott', 'andreassi', 'say', 'family', 'photo', 'home', 'include', 'written']",1.7999999523162842,7,5338,1700,3638,13235044
2821,"['microsoft', 'say', 'friday', 'halt', 'development', 'future', 'farintosh', 'version', 'internet', 'explorer', 'brother', 'bite', 'competition', 'apple', 'computer', 'afar', 'brother']","['microsoft', 'stop', 'develop', 'version', 'internet', 'explorer', 'brother', 'software', 'farintosh', 'computer', 'say', 'apple', 'afar', 'apple', 'need']",4.0,10,5584,4638,946,894916
2822,"['shopman', 'immediately', 'arrest', 'expect', 'appear', 'arrangement', 'july']","['shopman', 'arrest', 'expect', 'appear', 'arrangement', 'thursday', 'prospector', 'say']",3.799999952316284,5,4815,4173,642,412164
2823,"['president', 'rush', 'raise', 'record', 'break', 'million', 'election', 'campaign', 'month', 'contribution', 'americans', 'president', 'campaign', 'chairman', 'say', 'tuesday']","['president', 'rush', 'raise', 'million', 'begin', 'election', 'campaign', 'million', 'leave', 'spend', 'campaign', 'say', 'tuesday']",2.400000095367432,8,5432,2206,3226,10407076
2824,"['authority', 'ohio', 'indiana', 'michigan', 'search', 'body']","['far', 'authority', 'search', 'area', 'pennsylvania', 'ohio', 'indiana', 'michigan']",2.799999952316284,5,4681,2623,2058,4235364
2825,"['say', 'european', 'government', 'block', 'new', 'big', 'crop', 'unfounded', 'scientific', 'fear']","['block', 'new', 'big', 'crop', 'unfounded', 'scientific', 'fear', 'rush', 'say']",3.200000047683716,8,5428,3238,2190,4796100
2826,"['question', 'france', 'infuriate', 'washington', 'lead', 'charge', 'authorization', 'war', 'vote', 'yes', 'abstain']","['france', 'infuriate', 'washington', 'lead', 'charge', 'approval', 'war', 'seek', 'change']",3.0,6,5082,2966,2116,4477456
2827,"['luzerne', 'county', 'district', 'attorney', 'david', 'lupus', 'tell', 'news', 'conference', 'monday', 'authority', 'continue', 'significant', 'progress', 'case']","['charge', 'file', 'death', 'luzerne', 'county', 'district', 'attorney', 'david', 'lupus', 'say', 'authority', 'continue', 'significant', 'progress', 'case']",3.400000095367432,11,5685,3504,2181,4756761
2828,"['conference', 'board', 'say', 'late', 'measure', 'business', 'confidence', 'hit', 'fall', 'quarter', 'survey']","['conference', 'board', 'say', 'measure', 'business', 'confidence', 'fall', 'quarter', 'improve', 'recent', 'second', 'quarter']",3.799999952316284,8,5454,4063,1391,1934881
2829,"['legal', 'representative', 'begin', 'meet', 'plaintiff', 'attorney', 'week', 'discuss', 'settlement']","['attorney', 'archdiocese', 'plaintiff', 'begin', 'meet', 'week', 'reach', 'court', 'settlement']",3.25,6,5077,3374,1703,2900209
2830,"['senior', 'pay', 'percent', 'drug', 'cost']","['dedicate', 'pay', 'percent', 'drug', 'cost']",1.5,4,4364,1429,2935,8614225
2831,"['flamboyant', 'entrepreneur', 'flag', 'plan', 'meeting', 'london', 'australian', 'tourism', 'minister', 'toe', 'jockey']","['air', 'richard', 'speak', 'meeting', 'london', 'australian', 'tourism', 'minister', 'toe', 'jockey']",2.799999952316284,7,5342,2622,2720,7398400
2832,"['government', 'bond', 'sell', 'sharply', 'greenspan', 'tell', 'congress', 'tuesday', 'economy', 'embrace', 'period', 'extended', 'growth']","['greenspan', 'tell', 'congress', 'tuesday', 'economy', 'embrace', 'period', 'sustained', 'growth']",3.200000047683716,8,5462,3236,2226,4955076
2833,"['path', 'nicolo', 'jennifer', 'connelly', 'house', 'mean', 'stability', 'family']","['path', 'nicolo', 'jennifer', 'connelly', 'desperate', 'family', 'find', 'life', 'fall', 'apart']",2.0,5,4794,1901,2893,8369449
2834,"['institute', 'supply', 'management', 'index', 'nonmanufacture', 'activity', 'rise', 'unexpectedly', 'april', 'report', 'say']","['institute', 'supply', 'management', 'say', 'index', 'non', 'manufacturing', 'activity', 'rise', 'march']",3.400000095367432,7,5359,3485,1874,3511876
2835,"['spokesman', 'maria', 'agree', 'say', 'look', 'like', 'isolated', 'event']","['look', 'like', 'isolated', 'event', 'world', 'health', 'organization', 'spokesman', 'maria', 'say']",4.599999904632568,7,5357,5239,118,13924
2836,"['police', 'say', 'small', 'child', 'apartment', 'day']","['police', 'say', 'small', 'child', 'day', 'lie', 'dead']",3.25,5,4793,3372,1421,2019241
2837,"['priest', 'john', 'johnston', 'avenue', 'jackson', 'heights', 'charge', 'aggravated', 'harassment', 'criminal', 'possession', 'weapon']","['john', 'johnston', 'charge', 'aggravated', 'harassment', 'phone', 'case', 'criminal', 'possession', 'weapon', 'accord', 'police', 'statement']",3.75,8,5458,3991,1467,2152089
2838,"['settlement', 'include', 'million', 'attorney', 'fee', 'expense']","['plaintiff', 'attorney', 'million', 'settlement']",4.5,3,3651,5131,-1480,2190400
2839,"['vote', 'kill']","['vote', 'kill', 'acc', 'expansion']",3.6670000553131104,2,1854,3984,-2130,4536900
2840,"['prisoner', 'country', 'include', 'canada', 'hold', 'capture', 'war', 'afghanistan', 'al', 'said', 'network']","['prisoner', 'country', 'hold', 'naval', 'base', 'guantanamo', 'capture', 'war', 'll', 'qaeda', 'afghanistan']",3.3329999446868896,6,5135,3412,1723,2968729
2841,"['reach', 'john', 'dvorak', 'cover', 'kansas', 'send', 'e', 'mail']","['reach', 'cooper', 'johnson', 'county', 'municipal', 'reporter', 'send', 'e', 'mail']",1.0,4,4361,914,3447,11881809
2842,"['prosecutor', 'garden', 'call', 'decision', 'victory', 'kathleen', 'peterson', 'family']","['member', 'kathleen', 'peterson', 'family', 'present']",1.0,3,3656,964,2692,7246864
2843,"['want', 'alesha', 'bagley', 'tone', 'county', 'nursing', 'rehabilitation', 'enter', 'social', 'director', 'say', 'week']","['want', 'confirm', 'tone', 'county', 'nursing', 'rehabilitation', 'enter', 'social', 'director', 'alesha', 'bagley']",5.0,10,5582,5678,-96,9216
2844,"['national', 'denomination', 'episcopal', 'church', 'million', 'member', 'branch', 'million', 'member', 'anglican', 'communion']","['episcopal', 'church', 'million', 'member', 'american', 'branch', 'worldwide', 'anglican', 'communion', 'million', 'adherent']",5.0,7,5346,5658,-312,97344
2845,"['feel', 'confident', 'say', 'long', 'integration', 'story', 'irina', 'say']","['lot', 'feel', 'confident', 'long', 'integration', 'story']",3.400000095367432,5,4791,3541,1250,1562500
2846,"['british', 'police', 'arrest', 'people', 'early', 'tuesday', 'connection', 'suspect', 'ritual', 'murder', 'african', 'boy', 'tarso', 'find', 'thames', 'river']","['police', 'arrest', 'people', 'connection', 'murder', 'young', 'iberian', 'child', 'heedless', 'listless', 'tarso', 'find', 'float', 'river', 'thames']",3.5,9,5513,3739,1774,3147076
2847,"['late', 'afternoon', 'bones', 'industrial', 'average', 'percent', 'having', 'gain', 'point', 'monday', 'high', 'level', 'july']","['morning', 'trading', 'bones', 'industrial', 'average', 'percent', 'having', 'gain', 'point', 'monday']",1.25,8,5361,1255,4106,16859236
2848,"['uric', 'age', 'pitch', 'perfect', 'ninth', 'word', 'save', 'opportunity']","['age', 'strike', 'perfect', 'ninth', 'winning', 'word', 'save']",3.25,5,4770,3370,1400,1960000
2849,"['share', 'close', 'nasdaq', 'week', 'high']","['trading', 'echostar', 'stock', 'close', 'tuesday', 'week', 'high']",3.25,3,3640,3369,271,73441
2850,"['nice', 'belly', 'say', 'husband', 'receive', 'assurance', 'senior', 'official', 'public']","['tell', 'inquiry', 'husband', 'receive', 'assurance', 'line', 'manager', 'senior', 'ministry', 'official', 'come', 'forward', 'public']",3.75,6,5126,4010,1116,1245456
2851,"['convict', 'face', 'year', 'prison', 'fine', 'count']","['convict', 'face', 'year', 'prison', 'fine', 'base', 'gain', 'involve']",3.25,5,4769,3375,1394,1943236
2852,"['corporate', 'bond', 'yield', 'spread', 'tighten', 'spot', 'trading', 'friday', 'street', 'labor', 'foot', 'large', 'power', 'outrage', 'north', 'america']","['stock', 'rise', 'slightly', 'feather', 'light', 'volume', 'friday', 'street', 'group', 'big', 'power', 'outrage', 'north', 'america']",3.5999999046325684,6,5123,3892,1231,1515361
2853,"['evacuation', 'go', 'smoothly', 'passenger', 'tell', 'go', 'aunt', 'say']","['passenger', 'evacuate', 'smoothly', 'tell', 'go', 'say']",4.400000095367432,5,4768,5093,-325,105625
2854,"['allegation', 'sexual', 'assault', 'report']","['report', 'sexual', 'assault', 'academy']",3.5999999046325684,3,3637,3891,-254,64516
2855,"['smith', 'say', 'simply', 'oh', 'god', 'second', 'afterward', 'accord', 'weinshall']","['second', 'crash', 'add', 'captain', 'smith', 'say', 'simply', 'oh', 'god']",3.75,6,5122,4019,1103,1216609
2856,"['woolen', 'say', 'expect', 'muhammad', 'similarly', 'call', 'witness', 'arterial', 'hearing']","['old', 'call', 'witness', 'wednesday', 'arterial', 'hearing', 'fellow', 'supper', 'suspect', 'john', 'ellen', 'muhammad']",2.5,5,4767,2333,2434,5924356
2857,"['leave', 'smile', 'face', 'word', 'daughter', 'mind', 'hope', 'say']","['leave', 'smile', 'face', 'word', 'give', 'kiss', 'say']",3.25,5,4766,3376,1390,1932100
2858,"['bar', 'permanently', 'security', 'industry']","['young', 'face', 'fine', 'suspension', 'permanently', 'bar', 'security', 'industry']",3.3329999446868896,4,4360,3403,957,915849
2859,"['inspiration', 'couple', 'helpless', 'courageous', 'say', 'scar', 'win', 'film', 'director']","['say', 'inspiration', 'couple', 'helpless', 'courageous']",3.0,5,4765,3065,1700,2890000
2860,"['second', 'victim', 'michael', 'walker', 'strike', 'tarso', 'bullet', 'perforate', 'lung']","['victim', 'michael', 'walker', 'barley', 'street', 'strike', 'neck']",2.200000047683716,4,4358,2101,2257,5094049
2861,"['interview', 'criminologist', 'acknowledge', 'sentiment', 'legislator', 'country', 'weariness', 'capital', 'punishment']","['interview', 'criminologist', 'say', 'lawmaker', 'country', 'share', 'weariness', 'capital', 'punishment']",4.599999904632568,6,5118,5237,-119,14161
2862,"['franklin', 'county', 'judge', 'executive', 'versa', 'barton', 'say', 'firefighter', 'strike', 'lightning', 'take', 'frankfort', 'regional', 'medical', 'enter']","['county', 'firefighter', 'strike', 'lightning', 'stable', 'condition', 'frankfort', 'regional', 'medical', 'enter']",3.200000047683716,8,5367,3223,2144,4596736
2863,"['police', 'spokesman', 'brig', 'men', 'edward', 'aritonang', 'confirm', 'saturday', 'arrest', 'makarka', 'magelang', 'central', 'cava']","['brigadier', 'general', 'edward', 'aritonang', 'police', 'spokesman', 'confirm', 'yesterday', 'arrest', 'makarka', 'magelang', 'central', 'cava']",5.0,10,5581,5659,-78,6084
2864,"['federal', 'judge', 'william', 'harbour', 'say', 'tuesday', 'impose', 'maximum', 'sentence', 'event', 'show', 'remorse', 'brutal', 'slaying']","['district', 'judge', 'william', 'harbour', 'say', 'impose', 'maximum', 'event', 'show', 'remorse']",3.5999999046325684,9,5527,3885,1642,2696164
2865,"['potential', 'rumor', 'ask', 'complete', 'lengthy', 'questionnaire']","['rumor', 'take', 'courtroom', 'group', 'ask', 'fill', 'questionnaire']",3.200000047683716,3,3622,3220,402,161604
2866,"['alternate', 'rumor', 'choose', 'final', 'set', 'select', 'friday', 'morning', 'panel']","['alternate', 'rumor', 'select', 'sixth', 'alternate', 'pick', 'friday']",4.599999904632568,4,4357,5235,-878,770884
2867,"['california', 'arm', 'bureau', 'immediately', 'return', 'call', 'seek', 'comment']","['california', 'arm', 'bureau', 'immediately', 'official', 'response', 'tuesday', 'ruling']",3.799999952316284,4,4356,4101,255,65025
2868,"['prime', 'minister', 'tell', 'bbc', 'gather', 'poll', 'continue', 'believe', 'right']","['say', 'gather', 'poll', 'continue', 'believe', 'right', 'foreign', 'domestic', 'policy']",3.400000095367432,5,4763,3528,1235,1525225
2869,"['man', 'battle', 'head', 'combined', 'joint', 'ask', 'force', 'base', 'ship', 'gulf', 'den', 'indian', 'ocean']","['general', 'battle', 'head', 'combined', 'joint', 'ask', 'force', 'aboard', 'command', 'ship', 'count', 'whitney']",3.5999999046325684,7,5323,3904,1419,2013561
2870,"['street', 'analysis', 'expect', 'cent', 'share', 'accord', 'thomson']","['result', 'cent', 'share', 'low', 'forecast', 'analysis', 'survey', 'thomson']",2.200000047683716,4,4355,1974,2381,5669161
2871,"['legal', 'ruling', 'follow', 'day', 'intense', 'speculation', 'hewlett', 'backward', 'bid', 'company']","['legal', 'ruling', 'follow', 'day', 'wild', 'volatility', 'rim', 'stock', 'speculation', 'giant', 'hewlett', 'backward', 'bid', 'company']",3.5999999046325684,9,5519,3924,1595,2544025
2872,"['finding', 'publish', 'july', 'issue', 'annals', 'internal', 'medicine']","['finding', 'publish', 'today', 'annals', 'internal', 'medicine']",3.799999952316284,5,4762,4097,665,442225
2873,"['measure', 'take', 'senate', 'early', 'friday']","['bailiff', 'say', 'hope', 'bring', 'measure', 'senate', 'friday']",4.0,3,3632,4664,-1032,1065024
2874,"['union', 'spokesman', 'uric', 'rhode', 'decline', 'comment', 'mediation', 'order']","['think', 'great', 'news', 'say', 'union', 'spokesman', 'uric', 'rhode']",1.7330000400543213,4,4180,1600,2580,6656400
2875,"['labor', 'department', 'analysis', 'think', 'patrol', 'statistic', 'survey', 'business', 'provide', 'accurate', 'picture', 'economy', 'survey', 'figure', 'base', 'large', 'sample']","['analysis', 'say', 'believe', 'patrol', 'statistic', 'provide', 'accurate', 'picture', 'economy', 'base', 'large', 'sample']",4.0,10,5580,4666,914,835396
2876,"['parent', 'want', 'keep', 'alive', 'husband', 'say', 'want', 'keep', 'alive', 'artificially']","['michael', 'schiavo', 'argue', 'wife', 'want', 'keep', 'alive', 'artificially']",2.799999952316284,4,4354,2651,1703,2900209
2877,"['early', 'tell', 'france', 'enter', 'radio', 'think', 'qualify', 'happen', 'genuine', 'epidemic']","['think', 'qualify', 'happen', 'genuine', 'epidemic', 'health', 'minister', 'mean', 'francis', 'matter', 'say', 'france', 'enter', 'radio']",3.200000047683716,8,5375,3218,2157,4652649
2878,"['ferri', 'schiavo', 'expect', 'die', 'week', 'camp', 'area', 'hostile', 'spend', 'past', 'year']","['ferri', 'schiavo', 'undergo', 'procedure', 'camp', 'area', 'hostile', 'live', 'year', 'say', 'father', 'mob', 'schindler']",1.7999999523162842,6,5137,1675,3462,11985444
2879,"['prior', 'join', 'today', 'lumbo', 'work', 'trotter', 'gamble', 'manage', 'product', 'holders', 'canteen', 'shampoo']","['prior', 'join', 'batman', 'today', 'lumbo', 'hold', 'senior', 'marketing', 'position', 'trotter', 'gamble']",3.75,6,5105,4016,1089,1185921
2880,"['mcdevitt', 'grant', 'control', 'crucial', 'aspect', 'policy', 'solomon']","['mcdevitt', 'grant', 'control', 'aspect', 'policy', 'commissioner', 'william', 'sorrel']",3.75,5,4760,4022,738,544644
2881,"['official', 'north', 'carolina', 'speedway', 'rockingham', 'reach']","['nascar', 'official', 'reach', 'comment', 'tuesday']",2.9089999198913574,2,1919,2754,-835,697225
2882,"['say', 'child', 'take', 'vassar', 'county', 'medical', 'enter', 'observation']","['boy', 'take', 'vassar', 'university', 'medical', 'enter', 'staff', 'say', 'okay']",3.400000095367432,5,4759,3445,1314,1726596
2883,"['misha', 'dresser', 'spokesman', 'global', 'crossing', 'decline', 'comment']","['global', 'crossing', 'representative', 'immediate', 'comment']",3.5999999046325684,3,3705,3916,-211,44521
2884,"['union', 'stage', 'day', 'strike', 'march', 'force', 'pale', 'dining', 'hall', 'close']","['union', 'stage', 'day', 'strike', 'march', 'strike', 'precede', 'contract']",2.5999999046325684,5,4758,2379,2379,5659641
2885,"['sov', 'sick', 'merry', 'say', 'oppose', 'gambling', 'expansion', 'reluctant', 'veto', 'continuation', 'pottery', 'commission']","['sov', 'sick', 'merry', 'oppose', 'expansion', 'gambling', 'say', 'hard', 'press', 'veto', 'lottery', 'sunset', 'bill']",3.799999952316284,8,5366,4091,1275,1625625
2886,"['midafternoon', 'trading', 'nasdaq', 'composite', 'index', 'percent']","['nasdaq', 'composite', 'index', 'dip', 'point', 'percent']",1.600000023841858,4,4352,1553,2799,7834401
2887,"['kentucky', 'democratic', 'attorney', 'general', 'men', 'handle', 'face', 'urine', 'fletcher']","['kentucky', 'republican', 'urine', 'fletcher', 'term', 'house', 'member', 'rattle', 'democratic', 'state', 'attorney', 'general', 'men', 'handle']",3.799999952316284,8,5413,4098,1315,1729225
2888,"['bones', 'industrial', 'average', 'fall', 'percent']","['bones', 'industrial', 'average', 'finish', 'day', 'point']",3.400000095367432,3,3713,3422,291,84681
2889,"['union', 'plan', 'cover', 'worker', 'retire', 'beneficiary']","['union', 'stock', 'comprise', 'worker', 'portfolio']",2.5,2,1917,2346,-429,184041
2890,"['senate', 'judiciary', 'committee', 'overcome', 'significant', 'hardly', 'yesterday', 'battle', 'create', 'trust', 'fund', 'pay', 'victim', 'asbestos', 'exposure']","['senate', 'judiciary', 'committee', 'tuesday', 'overcome', 'significant', 'hardly', 'battle', 'create', 'trust', 'fund', 'pay', 'victim', 'asbestos', 'exposure', 'difficult', 'obstacle', 'remain']",3.75,14,5734,3988,1746,3048516
2891,"['certify', 'year', 'billion', 'budget']","['say', 'know', 'certify', 'budget']",3.1670000553131104,2,1915,3078,-1163,1352569
2892,"['difficult', 'overestimated', 'potential', 'danger', 'remote', 'procedure', 'rpc', 'vulnerability']","['flaw', 'involve', 'remote', 'procedure', 'rpc', 'protocol', 'deal', 'inter', 'computer', 'communication']",2.5,3,3717,2364,1353,1830609
2893,"['obesity', 'increase', 'risk', 'health', 'problem', 'skeptic', 'argue', 'smoking', 'high', 'cholestrol']","['obesity', 'increase', 'risk', 'host', 'health', 'problem', 'skeptic', 'argue', 'smoking', 'high', 'cholestrol', 'consider', 'disease']",4.25,10,5578,4927,651,423801
2894,"['michelle', 'lie', 'chip', 'sunday', 'victory', 'virada', 'nirapathpongporn', 'women', 'amateur', 'public', 'links', 'championship']","['trophy', 'victory', 'women', 'amateur', 'public', 'links', 'sunday']",2.75,6,5031,2550,2481,6155361
2895,"['bony', 'say', 'psp', 'feature', 'inch', 'lcd', 'screen', 'memory', 'stick', 'expansion', 'shot']","['feature', 'light', 'lcd', 'screen', 'memory', 'expansion', 'facility']",2.75,5,4764,2553,2211,4888521
2896,"['smile', 'site', 'huntington', 'bacteria', 'reading', 'come', 'june', 'june']","['reading', 'come', 'june', 'june', 'smile', 'site', 'huntington']",3.25,6,5028,3365,1663,2765569
2897,"['long', 'line', 'catch', 'fish', 'hook', 'past', 'decade', 'lucky', 'catch', 'study', 'find']","['long', 'line', 'catch', 'fish', 'hook', 'lucky', 'catch', 'eye', 'say']",4.199999809265137,6,5027,4871,156,24336
2898,"['carnival', 'stock', 'trade', 'midday', 'trading', 'wednesday', 'cent', 'percent']","['carnival', 'stock', 'percent', 'cent', 'new', 'work', 'stock', 'exchange']",3.200000047683716,4,4376,3269,1107,1225449
2899,"['senate', 'criticism', 'house', 'plan', 'tuesday', 'come', 'front']","['senate', 'republicans', 'crank', 'house', 'map']",2.75,2,1913,2560,-647,418609
2900,"['result', 'murphy', 'seek', 'substitute', 'tried', 'sister', 'ethel', 'celnik', 'trustee']","['murphy', 'say', 'tried', 'sister', 'ethel', 'celnik', 'courtroom', 'time', 'tried']",1.75,5,4774,1616,3158,9972964
2901,"['rule', 'bar', 'group', 'fire', 'promote', 'support', 'attack', 'oppose', 'candidate', 'time']","['uphold', 'fallacy', 'rule', 'bar', 'group', 'fire', 'promote', 'support', 'attack', 'oppose', 'candidate', 'time']",3.75,10,5576,3989,1587,2518569
2902,"['disco', 'pare', 'spending', 'compensate', 'sluggish', 'sale']","['response', 'sluggish', 'sale', 'disco', 'pare', 'spending']",4.800000190734863,5,4790,5449,-659,434281
2903,"['kansas', 'city', 'draft', 'outfielder', 'chris', 'lubanski', 'penned', 'enrich', 'high', 'school', 'pennsylvania', 'fifth', 'pick']","['royal', 'choose', 'chris', 'lubanski', 'high', 'school', 'outfielder', 'pennsylvania', 'hit', 'fifth', 'pick']",3.400000095367432,8,5410,3477,1933,3736489
2904,"['sterling', 'percent', 'dollar']","['dollar', 'rise', 'percent', 'japanese', 'currency', 'man']",0.800000011920929,2,1912,814,1098,1205604
2905,"['bones', 'industrial', 'average', 'rise', 'point', 'percent']","['bones', 'rise', 'point', 'friday', 'gain', 'day', 'week']",4.0,3,3679,4640,-961,923521
2906,"['right', 'beginning', 'want', 'cut', 'pay']","['rosy', 'tell', 'associated', 'dress', 'right', 'beginning', 'want', 'cut', 'pay']",4.0,5,4789,4641,148,21904
2907,"['number', 'bureaucratic', 'administrative', 'miss', 'signal', 'person', 'responsible', 'german', 'say']","['turn', 'nima', 'offer', 'german', 'say', 'number', 'bureaucratic', 'administrative', 'miss', 'signal']",3.75,7,5324,3995,1329,1766241
2908,"['series', 'stop', 'town', 'wednesday', 'registering', 'sex', 'offender', 'soledad', 'police', 'department']","['convict', 'child', 'molest', 'brian', 'series', 'speak', 'response', 'community', 'outrage', 'wednesday', 'afternoon', 'register', 'sex', 'offender', 'soledad', 'police', 'department']",3.25,7,5322,3363,1959,3837681
2909,"['edt', 'race', 'center', 'near', 'latitude', 'north', 'longitude', 'west', 'mile', 'east', 'southeast', 'corpus', 'christ']","['edt', 'cabin', 'center', 'near', 'latitude', 'north', 'longitude', 'west', 'mile', 'east', 'rewards']",1.25,9,5485,1256,4229,17884441
2910,"['saturday', 'mph', 'serve', 'agassi', 'equal', 'rusedski', 'world', 'record']","['saturday', 'roddick', 'equal', 'world', 'record', 'serve', 'beat', 'andre', 'agassi']",3.5,6,5042,3723,1319,1739761
2911,"['broad', 'standard', 'door', 'index', 'climb', 'point', 'percent']","['nasdaq', 'composite', 'index', 'jump', 'point', 'percent']",1.0,3,3692,988,2704,7311616
2912,"['october', 'heating', 'oil', 'future', 'settle', 'cent', 'low', 'cent', 'gallon']","['october', 'heating', 'oil', 'end', 'cent', 'cent', 'gallon']",2.5,5,4787,2352,2435,5929225
